FoodID,FoodName,Category,Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,GlycemicIndex,GI_Impact,IsVegetarian,IsNonVeg,IsVegan,IsEggetarian,IsJain,IsSouthIndian,IsNorthIndian,IsMediterranean,Allergens,CookingNotes,HealthySubstitutes
43,Baked Sweet Potato,Vegetables,103,2.3,24.0,0.2,3.8,54,Low,True,False,True,False,False,True,True,False,None,Bake whole in skin for beta-carotene and steady energy.,"Roasted Pumpkin, Beetroot"
44,Roasted Pumpkin,Vegetables,30,1.2,7.5,0.1,1.5,65,Medium,True,False,True,False,True,True,True,False,None,Cube and bake with cinnamon or nutmeg.,"Sweet Potato, Carrots"
45,Bitter Gourd (Karela),Vegetables,45,2.0,7.0,1.5,3.0,15,Low,True,False,True,False,True,True,True,False,None,Sauté with turmeric and dry mango powder to balance bitterness.,"Bottle Gourd, Ridge Gourd"
46,Bottle Gourd (Lauki),Vegetables,35,1.0,6.0,0.8,2.0,15,Low,True,False,True,False,True,True,True,False,None,Cook with yellow moong dal for digestive soothing.,"Ridge Gourd, Zucchini"
47,Ridge Gourd (Turai),Vegetables,30,1.1,5.5,0.5,2.2,15,Low,True,False,True,False,True,True,True,False,None,Peel lightly; simmer with mustard seeds and curry leaves.,"Bottle Gourd, Lauki"
48,Drumstick Sambar Veggies,Vegetables,40,2.2,7.0,0.6,3.2,15,Low,True,False,True,False,True,True,False,False,None,Boil in lentil sambar gravy rich in micronutrients.,"French Beans, Okra"
49,Brinjal Bharta,Vegetables,70,1.5,8.0,4.0,3.0,15,Low,True,False,True,False,True,True,True,False,None,Roast whole eggplant on open flame; mash with tomatoes and herbs.,"Zucchini Sabzi, Mushroom Sauté"
50,Bhindi Masala (Okra),Vegetables,65,2.0,7.5,3.5,3.2,15,Low,True,False,True,False,True,True,True,False,None,Dry slit bhindi before stir-frying to eliminate sliminess.,"French Beans, Cluster Beans"
51,Cluster Beans (Gavar),Vegetables,50,3.2,8.0,0.5,4.0,15,Low,True,False,True,False,True,True,True,False,None,Steam thoroughly; toss with crushed ajwain and garlic.,"French Beans, Bhindi"
52,French Beans Stir-fry,Vegetables,45,2.0,7.0,1.5,3.4,15,Low,True,False,True,False,True,True,True,False,None,Snap ends; stir-fry with grated coconut and mustard seeds.,"Cluster Beans, Asparagus"
53,Green Peas Boiled,Vegetables,118,8.0,21.0,0.5,7.0,48,Low,True,False,True,False,True,True,True,False,None,Boil until tender; fold into brown rice or salads.,"Edamame, Sweet Corn"
54,Brussels Sprouts,Vegetables,56,4.0,11.0,0.8,4.0,15,Low,True,False,True,False,True,False,False,True,None,Halve and roast with balsamic glaze until caramelized.,"Broccoli, Cabbage"
55,Steamed Artichoke,Vegetables,64,3.5,14.0,0.4,7.0,15,Low,True,False,True,False,True,False,False,True,None,Steam whole for 30 mins; dip leaves in lemon tahini.,"Asparagus, Brussels Sprouts"
56,Celery Sticks,Vegetables,14,0.7,3.0,0.2,1.6,15,Low,True,False,True,False,True,False,False,True,None,Chop raw for crunch; dip in peanut butter or hummus.,"Cucumber Slices, Radish"
57,Raw Radish (Mooli),Vegetables,18,0.8,4.0,0.1,1.9,15,Low,True,False,True,False,False,True,True,False,None,Grate into raw salad with lemon juice and coriander.,"Turnip, Cucumber"
58,Turnip (Shalgam),Vegetables,34,1.1,8.0,0.1,2.3,30,Low,True,False,True,False,False,True,True,False,None,Dice into vegetable soups or curry gravies.,"Radish, Beetroot"
59,Colocasia Leaves (Arbi),Vegetables,35,2.5,6.0,0.5,3.0,15,Low,True,False,True,False,True,True,True,False,None,Steam leaves after smearing with spiced chickpea paste.,"Spinach, Kale"
60,Fenugreek Leaves (Methi),Vegetables,40,4.0,6.0,0.9,4.0,15,Low,True,False,True,False,True,True,True,False,None,Chop finely; knead into multigrain dough for flatbreads.,"Spinach, Amaranth Leaves"
61,Mustard Greens (Sarson),Vegetables,35,3.2,5.0,0.4,3.5,15,Low,True,False,True,False,True,False,True,False,Mustard,"Boil and puree greens with garlic, ginger, and green chili.","Spinach, Methi"
62,Amaranth Leaves (Chaulai),Vegetables,38,3.5,6.5,0.5,3.8,15,Low,True,False,True,False,True,True,True,False,None,Sauté with garlic and red chilies.,"Spinach, Kale"
63,Raw Tomato Slices,Vegetables,22,1.1,4.8,0.2,1.5,15,Low,True,False,True,False,True,True,True,True,None,Slice fresh for lycopene antioxidant boost.,"Bell Peppers, Cucumber"
64,Sweet Corn Kernels,Vegetables,96,3.4,21.0,1.5,2.4,60,Medium,True,False,True,False,True,True,True,False,Corn,Steam kernels; toss with black pepper and lime juice.,"Green Peas, Baby Corn"
65,Raw Baby Corn,Vegetables,40,1.5,9.0,0.3,2.0,55,Medium,True,False,True,False,True,True,True,False,Corn,Stir-fry with capsicum and mushroom.,"Sweet Corn, Zucchini"
66,Green Apple (medium),Fruits,95,0.5,25.0,0.3,4.4,38,Low,True,False,True,False,True,True,True,True,None,Eat with skin intact for pectin fiber and low GI impact.,"Red Apple, Pear"
67,Red Delicious Apple,Fruits,95,0.5,25.0,0.3,4.4,39,Low,True,False,True,False,True,True,True,True,None,Wash thoroughly; pair with raw walnuts for mid-day snack.,"Green Apple, Pear"
68,Robusta Banana (medium),Fruits,105,1.3,27.0,0.3,3.1,51,Low,True,False,True,False,True,True,True,False,None,Ideal pre/post workout carbohydrate and potassium source.,"Yelakki Banana, Papaya"
69,Yelakki Banana (small),Fruits,60,0.8,15.0,0.2,1.8,48,Low,True,False,True,False,True,True,False,False,None,Compact pre-workout quick energizer.,"Robusta Banana, Figs"
70,Fresh Valencia Orange,Fruits,62,1.2,15.0,0.2,3.1,40,Low,True,False,True,False,True,True,True,True,Citrus,Eat fresh segment pulp for bioflavonoids and vitamin C.,"Sweet Lime, Grapefruit"
71,Sweet Lime (Mosambi),Fruits,50,0.8,12.0,0.1,2.5,40,Low,True,False,True,False,True,True,True,False,Citrus,Eat whole segments rather than strained juice to keep fiber.,"Orange, Grapefruit"
72,Fresh Blueberries (1 cup),Fruits,84,1.1,21.0,0.5,3.6,53,Low,True,False,True,False,True,False,False,True,None,Rich in anthocyanin antioxidants; fold into oats porridge.,"Strawberries, Raspberries"
73,Fresh Strawberries (1 cup),Fruits,49,1.0,11.7,0.5,3.0,41,Low,True,False,True,False,True,False,False,True,None,Slice into Greek yogurt or chia pudding.,"Blueberries, Blackberries"
74,Fresh Raspberries,Fruits,64,1.5,14.7,0.8,8.0,32,Low,True,False,True,False,True,False,False,True,None,High fiber berry; top onto protein smoothies.,"Strawberries, Blueberries"
75,Blackberries (1 cup),Fruits,62,2.0,13.8,0.7,7.6,25,Low,True,False,True,False,True,False,False,True,None,Low GI berry ideal for diabetic carbohydrate control.,"Raspberries, Strawberries"
76,Ripe Papaya (1 cup),Fruits,62,0.9,15.7,0.4,2.5,60,Medium,True,False,True,False,True,True,True,False,None,Contains papain enzymes for digestive support.,"Guava, Melon"
77,Pink Guava (medium),Fruits,37,1.4,7.9,0.5,4.9,12,Low,True,False,True,False,True,True,True,False,None,Extremely low GI fruit packed with 4x vitamin C of oranges.,"Green Apple, Papaya"
78,Fresh Green Kiwi,Fruits,42,0.8,10.0,0.4,2.1,52,Low,True,False,True,False,True,False,False,True,None,Peel and slice; rich in actinidin enzyme and vitamin C.,"Strawberries, Orange"
79,Watermelon Slices,Fruits,46,0.9,11.5,0.2,0.6,72,High,True,False,True,False,True,True,True,True,None,High hydration content; consume in moderate portion.,"Muskmelon, Papaya"
80,Pomegranate Seeds,Fruits,144,3.0,32.7,2.0,7.0,53,Low,True,False,True,False,True,True,True,True,None,Eat arils fresh for punicalagin polyphenols and heart health.,"Berries, Guava"
81,Bartlett Pear,Fruits,101,0.6,27.0,0.2,5.5,38,Low,True,False,True,False,True,True,True,True,None,Eat unpeeled for maximum soluble fiber.,"Green Apple, Guava"
82,Black Grapes,Fruits,62,0.6,16.0,0.3,0.9,59,Medium,True,False,True,False,True,True,True,False,None,Contains resveratrol; limit portion to 15 grapes.,"Blueberries, Pomegranate"
83,Alphonso Mango Slices,Fruits,99,1.4,24.7,0.6,2.6,51,Low,True,False,True,False,True,True,True,False,None,Enjoy fresh slices in moderation during season.,"Papaya, Pineapple"
84,Pineapple Cubes,Fruits,82,0.9,21.6,0.2,2.3,59,Medium,True,False,True,False,True,True,True,False,None,Contains bromelain anti-inflammatory enzyme.,"Papaya, Mango"
85,Hass Avocado (half),Fruits,160,2.0,8.5,14.7,6.7,15,Low,True,False,True,False,True,False,False,True,None,Mash on whole grain toast or add to salads for monounsaturated fats.,"Extra Virgin Olive Oil, Chia Seeds"
86,Dried Figs (Anjeer),Fruits,110,1.5,28.0,0.5,4.0,61,Medium,True,False,True,False,True,True,True,False,None,Soak 2 anjeer overnight in water for fiber and digestive ease.,"Dates, Prunes"
87,Medjool Dates (2 pcs),Fruits,133,0.9,36.0,0.1,3.2,42,Low,True,False,True,False,True,True,True,False,None,Natural sweetener; eat 2 dates pre-workout for rapid glycogen.,"Dried Figs, Raisins"
88,Muskmelon / Cantaloupe,Fruits,53,1.3,12.0,0.3,1.4,65,Medium,True,False,True,False,True,True,True,False,None,High electrolyte and hydration fruit.,"Watermelon, Papaya"
89,Red Dragon Fruit,Fruits,60,1.2,13.0,0.5,2.9,48,Low,True,False,True,False,True,True,False,False,None,Dice into fruit salads for gut prebiotic fiber.,"Kiwi, Papaya"
90,Fresh Plums (2 small),Fruits,60,0.9,15.0,0.4,1.9,40,Low,True,False,True,False,True,False,True,True,None,Eat fresh with skin; supports healthy blood pressure.,"Peaches, Apricots"
91,Fresh Peaches,Fruits,59,1.4,14.0,0.4,2.3,42,Low,True,False,True,False,True,False,True,True,None,Slice into salads or eat whole as mid-morning snack.,"Plums, Nectarines"
92,Fresh Apricots,Fruits,50,1.4,11.0,0.4,2.1,34,Low,True,False,True,False,True,False,True,True,None,Rich in vitamin A and potassium.,"Peaches, Plums"
93,Grapefruit (half),Fruits,52,1.0,13.0,0.2,2.0,25,Low,True,False,True,False,True,False,False,True,Citrus,Low GI citrus fruit; enhances insulin sensitivity.,"Orange, Sweet Lime"
94,Lemon Juice (1 lemon),Fruits,12,0.4,4.0,0.1,0.5,20,Low,True,False,True,False,True,True,True,True,Citrus,Squeeze into warm water first thing in the morning.,"Amla Juice, Lime Juice"
95,Amla Gooseberry,Fruits,30,0.5,7.0,0.2,2.0,15,Low,True,False,True,False,True,True,True,False,Citrus,Blend 2 amla with water; shot for immune boosting vitamin C.,"Lemon Juice, Guava"
96,Boiled Whole Eggs (2 eggs),Proteins,155,13.0,1.1,10.6,0.0,0,Low,False,False,False,True,False,True,True,True,Eggs,Hard boil for 9 mins; sprinkle with black pepper and pink salt.,"Egg White Scramble, Tofu"
97,Egg White Scramble (4 whites),Proteins,68,14.4,0.8,0.2,0.0,0,Low,False,False,False,True,False,True,True,True,Eggs,Whisk with spinach and tomatoes; cook on non-stick pan.,"Boiled Eggs, Tofu Scramble"
98,Grilled Chicken Breast (150g),Proteins,247,46.0,0.0,5.3,0.0,0,Low,False,True,False,False,False,True,True,True,None,"Marinate in lemon, garlic, and curd; grill for 12 mins.","Turkey Breast, Fish Fillet"
99,Roasted Turkey Breast (150g),Proteins,200,42.0,0.0,3.0,0.0,0,Low,False,True,False,False,False,False,False,True,None,Season with rosemary; roast at 180°C until internal temp is 75°C.,"Chicken Breast, Salmon"
100,Pan-seared Salmon Fillet,Proteins,300,34.0,0.0,18.0,0.0,0,Low,False,True,False,False,False,False,False,True,Seafood,Sear skin-side down in olive oil for 4 mins; flip for 3 mins.,"Tuna Steak, Cod Fillet"
101,Baked Cod Fillet (150g),Proteins,123,27.0,0.0,1.0,0.0,0,Low,False,True,False,False,False,False,False,True,Seafood,Bake with lemon slices and dill herbs at 200°C.,"Tilapia Fillet, Salmon"
102,Canned Light Tuna in Water,Proteins,130,28.0,0.0,1.0,0.0,0,Low,False,True,False,False,False,False,False,True,Seafood,"Drain brine; mix with Greek yogurt, mustard, and celery.","Salmon Fillet, Chicken Breast"
103,Fresh Paneer / Cottage Cheese,Proteins,265,18.0,3.0,20.0,0.0,0,Low,True,False,False,False,True,True,True,False,Dairy,Cube and pan-sear with spices or simmer in spinach palak gravy.,"Tofu Cubes, Low-fat Paneer"
104,Low-fat Paneer (100g),Proteins,160,20.0,4.0,7.0,0.0,0,Low,True,False,False,False,True,True,True,False,Dairy,Low calorie high protein paneer for weight management.,"Firm Tofu, Greek Yogurt"
105,Firm Tofu Cubes (150g),Proteins,144,15.0,3.5,8.0,2.0,15,Low,True,False,True,False,True,True,True,True,Soy,Press out excess water; marinate in soy sauce and pan-sear.,"Paneer, Tempeh"
106,Organic Tempeh (100g),Proteins,195,20.0,7.6,11.0,4.8,15,Low,True,False,True,False,True,False,False,True,Soy,Slice and bake or sauté; excellent fermented gut protein.,"Firm Tofu, Seitan"
107,Boiled Kabuli Chana (1 cup),Proteins,269,14.5,45.0,4.2,12.5,28,Low,True,False,True,False,True,True,True,True,None,Pressure cook with tea bag for dark color; toss in chole masala.,"Rajma, Black Beans"
108,Rajma Red Kidney Beans,Proteins,225,15.0,40.0,1.0,13.0,24,Low,True,False,True,False,True,True,True,False,None,Soak overnight; simmer with tomato onion gravy.,"Kabuli Chana, Black Lentils"
109,Yellow Toor Dal Cooked,Proteins,198,11.0,34.0,2.0,8.0,29,Low,True,False,True,False,True,True,True,False,None,"Pressure cook with turmeric; temper with ghee, cumin, and hing.","Moong Dal, Urad Dal"
110,Green Moong Dal Cooked,Proteins,180,12.0,30.0,1.5,9.0,31,Low,True,False,True,False,True,True,True,False,None,Easy to digest dal; cook with cumin and ginger.,"Yellow Toor Dal, Chana Dal"
111,Sprouted Moong Beans,Proteins,120,9.0,20.0,0.8,6.0,25,Low,True,False,True,False,True,True,True,False,None,"Sprout for 24 hrs; toss with lemon juice, cucumber, and pomegranate.","Sprouted Chana, Boiled Peas"
112,Black Lentils (Urad Dal),Proteins,210,12.5,36.0,1.8,9.5,32,Low,True,False,True,False,True,True,True,False,None,Slow cook for dal makhani or ferment with rice for dosa batter.,"Rajma, Toor Dal"
113,Black Beans Cooked,Proteins,227,15.2,41.0,0.9,15.0,30,Low,True,False,True,False,True,False,False,True,None,High fiber bean; mash into burritos or quinoa bowls.,"Rajma, Kidney Beans"
114,Textured Soy Chunks,Proteins,210,26.0,15.0,0.5,7.0,15,Low,True,False,True,False,True,True,True,False,Soy,Boil in water for 5 mins; squeeze out water thoroughly before cooking.,"Tofu, Seitan"
115,Plain Greek Yogurt 0%,Proteins,130,20.0,7.0,0.4,0.0,12,Low,True,False,False,False,True,True,True,True,Dairy,High protein probiotic yogurt; top with berries or chia seeds.,"Cottage Cheese, Skyr"
116,Steamed Edamame Pods,Proteins,188,18.4,13.8,8.0,8.0,15,Low,True,False,True,False,True,False,False,True,Soy,Steam for 5 mins; sprinkle with sea salt flakes.,"Sprouted Moong, Green Peas"
117,Seitan Wheat Protein,Proteins,370,75.0,14.0,1.9,0.6,0,Low,True,False,True,False,True,False,False,True,"Gluten,Wheat",High protein wheat gluten meat substitute; slice into stir-fries.,"Soy Chunks, Tofu"
118,Whey Protein Isolate,Proteins,120,25.0,1.5,0.5,0.0,0,Low,True,False,False,True,True,True,True,True,Dairy,Mix 1 scoop with cold water or almond milk post-workout.,"Pea Protein, Soy Protein"
119,Pea Protein Powder,Proteins,115,24.0,2.0,1.5,1.0,0,Low,True,False,True,False,True,True,True,True,None,Plant-based hypoallergenic protein powder for smoothies.,"Whey Protein, Hemp Protein"
120,Lean Ground Beef,Proteins,200,24.0,0.0,11.0,0.0,0,Low,False,True,False,False,False,False,False,False,None,Brown in non-stick pan; drain fat before adding marinara.,"Ground Turkey, Chicken Breast"
121,Mutton Curry Chunks,Proteins,210,22.0,0.0,13.0,0.0,0,Low,False,True,False,False,False,True,True,False,None,Slow cook in pressure cooker for 6 whistles with whole spices.,"Chicken Curry, Ground Beef"
122,Grilled Shrimp (120g),Proteins,120,24.0,1.0,1.5,0.0,0,Low,False,True,False,False,False,False,False,True,"Seafood,Shellfish",Skewer and grill with garlic butter for 2 mins per side.,"Cod Fillet, Tilapia"
123,Crab Meat (100g),Proteins,97,19.0,0.0,1.5,0.0,0,Low,False,True,False,False,False,False,False,True,"Seafood,Shellfish",Steam crab claws or stir-fry meat with chili and pepper.,"Shrimp, Fish Fillet"
124,Tilapia Fillet (150g),Proteins,145,30.0,0.0,2.5,0.0,0,Low,False,True,False,False,False,False,False,True,Seafood,"Pan-fry with paprika, garlic powder, and lemon juice.","Cod Fillet, Salmon"
125,Bangda Mackerel Fish,Proteins,240,28.0,0.0,14.0,0.0,0,Low,False,True,False,False,False,True,False,True,Seafood,Rich in Omega-3; pan fry on tawa with red chili paste.,"Sardines, Salmon"
126,Chana Dal Cooked,Proteins,205,13.0,33.0,2.5,9.0,28,Low,True,False,True,False,True,True,True,False,None,Cook with bottle gourd (lauki) for balanced protein dal.,"Toor Dal, Moong Dal"
127,Kollu Horse Gram Soup,Proteins,160,11.0,28.0,1.0,7.0,25,Low,True,False,True,False,True,True,False,False,None,Boil horse gram; temper with pepper and tamarind for fat loss soup.,"Rasam, Black Chana"
128,Kala Chana Black Chickpeas,Proteins,210,12.0,35.0,2.8,10.0,26,Low,True,False,True,False,True,True,True,False,None,Soak and pressure cook; sauté with dry spices for high fiber dish.,"Kabuli Chana, Rajma"
129,Ricotta Cheese Part-Skim,Proteins,170,14.0,6.0,10.0,0.0,10,Low,True,False,False,False,True,False,False,True,Dairy,Spread on toast or mix with berries and cinnamon.,"Cottage Cheese, Greek Yogurt"
130,Swiss Cheese Slices,Proteins,220,16.0,1.0,18.0,0.0,0,Low,True,False,False,False,True,False,False,True,Dairy,Melt over grilled turkey or veggie sandwiches.,"Paneer, Mozzarella Cheese"
131,Raw Almonds (23 nuts),Healthy Fats,164,6.0,6.0,14.0,3.5,0,Low,True,False,True,False,True,True,True,True,Nuts,Eat raw or soak overnight in water; peel skin before eating.,"Walnuts, Pistachios"
132,Walnut Halves (14 halves),Healthy Fats,185,4.3,3.9,18.5,1.9,0,Low,True,False,True,False,True,True,True,True,Nuts,Rich in Omega-3 ALA; chop into oats or morning fruit salad.,"Almonds, Flax Seeds"
133,Raw Pistachios (49 nuts),Healthy Fats,159,5.7,7.7,12.8,3.0,0,Low,True,False,True,False,True,True,True,True,Nuts,Shell and eat raw as afternoon satiety snack.,"Almonds, Cashews"
134,Raw Cashews (18 nuts),Healthy Fats,157,5.1,8.6,12.4,0.9,0,Low,True,False,True,False,True,True,True,False,Nuts,Blend soaked cashews into creamy vegan curries or soups.,"Almonds, Pistachios"
